doc_id,matched_terms,fit_labels,fit_count
FI_000305,microfinance,FIT7_Microfinance_Models,1
FI_000306,microfinance,FIT7_Microfinance_Models,1
FI_000307,mobile financial services,FIT1_Mobile_Money,1
FI_000308,microfinance,FIT7_Microfinance_Models,1
FI_000309,digital wallet; digital wallets; blockchain,FIT1_Mobile_Money; FIT8_Blockchain_DLT,2
FI_000310,consumer protection; financial literacy,FIT5_Adapted_Regulation; FIT6_Financial_Education,2
FI_000311,mobile money,FIT1_Mobile_Money,1
FI_000312,financial literacy,FIT6_Financial_Education,1
FI_000313,consumer protection,FIT5_Adapted_Regulation,1
FI_000314,financial literacy,FIT6_Financial_Education,1
FI_000315,mobile money,FIT1_Mobile_Money,1
FI_000316,mobile money,FIT1_Mobile_Money,1
FI_000317,financial literacy,FIT6_Financial_Education,1
FI_000318,central bank digital currency,FIT8_Blockchain_DLT,1
FI_000319,blockchain,FIT8_Blockchain_DLT,1
FI_000320,cryptocurrencies; central bank digital currencies; blockchain; central bank digital currency; cbdc; distributed ledger; cryptocurrency,FIT8_Blockchain_DLT,1
FI_000321,financial literacy; financial capability,FIT6_Financial_Education,1
FI_000322,mobile money,FIT1_Mobile_Money,1
FI_000323,,,0
FI_000324,blockchain,FIT8_Blockchain_DLT,1
FI_000325,consumer protection; financial education,FIT5_Adapted_Regulation; FIT6_Financial_Education,2
FI_000326,micro-credit; microfinance,FIT7_Microfinance_Models,1
FI_000327,financial capabilities,FIT6_Financial_Education,1
FI_000328,blockchain,FIT8_Blockchain_DLT,1
FI_000329,cryptocurrencies; blockchain,FIT8_Blockchain_DLT,1
FI_000330,microfinance; central bank digital currency,FIT7_Microfinance_Models; FIT8_Blockchain_DLT,2
FI_000331,credit scoring,FIT3_Behavioral_Credit_Risk,1
FI_000332,financial literacy,FIT6_Financial_Education,1
FI_000333,microfinance,FIT7_Microfinance_Models,1
FI_000334,cryptocurrencies; blockchain; central bank digital currencies,FIT8_Blockchain_DLT,1
FI_000335,financial literacy,FIT6_Financial_Education,1
FI_000336,financial knowledge,FIT6_Financial_Education,1
FI_000337,microfinance,FIT7_Microfinance_Models,1
FI_000338,microfinance,FIT7_Microfinance_Models,1
FI_000339,group lending; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000340,,,0
FI_000341,mobile money; remittances; microfinance; microfinance institutions,FIT1_Mobile_Money; FIT4_Workers_Remittances; FIT7_Microfinance_Models,3
FI_000342,microfinance,FIT7_Microfinance_Models,1
FI_000343,financial literacy,FIT6_Financial_Education,1
FI_000344,,,0
FI_000345,microfinance,FIT7_Microfinance_Models,1
FI_000346,,,0
FI_000347,financial awareness; financial education,FIT6_Financial_Education,1
FI_000348,financial literacy; financial education,FIT6_Financial_Education,1
FI_000349,,,0
FI_000350,microcredit; microfinance,FIT7_Microfinance_Models,1
FI_000351,mobile money; financial regulation,FIT1_Mobile_Money; FIT5_Adapted_Regulation,2
FI_000352,financial literacy; microfinance,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000353,agent network; microfinance; microfinance institutions; blockchain,FIT2_Nonbank_Distribution; FIT7_Microfinance_Models; FIT8_Blockchain_DLT,3
FI_000354,,,0
FI_000355,remittance; microfinance; microfinance institutions,FIT4_Workers_Remittances; FIT7_Microfinance_Models,2
FI_000356,financial literacy,FIT6_Financial_Education,1
FI_000357,financial literacy,FIT6_Financial_Education,1
FI_000358,financial literacy; financial knowledge,FIT6_Financial_Education,1
FI_000359,,,0
FI_000360,mobile financial service; mobile financial services; cryptocurrencies; blockchain,FIT1_Mobile_Money; FIT8_Blockchain_DLT,2
FI_000361,financial literacy,FIT6_Financial_Education,1
FI_000362,microfinance,FIT7_Microfinance_Models,1
FI_000363,consumer protection; blockchain,FIT5_Adapted_Regulation; FIT8_Blockchain_DLT,2
FI_000364,microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000365,mobile payment; financial literacy,FIT1_Mobile_Money; FIT6_Financial_Education,2
FI_000366,financial literacy,FIT6_Financial_Education,1
FI_000367,,,0
FI_000368,mfis; microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000369,remittances,FIT4_Workers_Remittances,1
FI_000370,digital wallet; blockchain; cbdc; central bank digital currency; cryptocurrencies; cryptocurrency,FIT1_Mobile_Money; FIT8_Blockchain_DLT,2
FI_000371,cryptocurrencies; blockchain; cryptocurrency,FIT8_Blockchain_DLT,1
FI_000372,microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000373,digital wallets; microfinance,FIT1_Mobile_Money; FIT7_Microfinance_Models,2
FI_000374,microfinance,FIT7_Microfinance_Models,1
FI_000375,financial literacy; financial education; financial knowledge,FIT6_Financial_Education,1
FI_000376,,,0
FI_000377,financial regulation; regulatory sandbox,FIT5_Adapted_Regulation,1
FI_000378,mobile payments; mobile payment,FIT1_Mobile_Money,1
FI_000379,financial literacy,FIT6_Financial_Education,1
FI_000380,digital wallets; mobile payment; cryptocurrencies; blockchain,FIT1_Mobile_Money; FIT8_Blockchain_DLT,2
FI_000381,digital wallets; blockchain,FIT1_Mobile_Money; FIT8_Blockchain_DLT,2
FI_000382,,,0
FI_000383,financial literacy,FIT6_Financial_Education,1
FI_000384,mobile money; digital wallets; remittances; microfinance; blockchain,FIT1_Mobile_Money; FIT4_Workers_Remittances; FIT7_Microfinance_Models; FIT8_Blockchain_DLT,4
FI_000385,e-wallets,FIT1_Mobile_Money,1
FI_000386,financial literacy,FIT6_Financial_Education,1
FI_000387,financial literacy; microfinance,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000388,financial literacy; financial awareness,FIT6_Financial_Education,1
FI_000389,financial literacy,FIT6_Financial_Education,1
FI_000390,blockchain,FIT8_Blockchain_DLT,1
FI_000391,anti-money laundering; aml/cft,FIT5_Adapted_Regulation,1
FI_000392,anti-money laundering; consumer protection,FIT5_Adapted_Regulation,1
FI_000393,cbdc; central bank digital currencies,FIT8_Blockchain_DLT,1
FI_000394,financial literacy,FIT6_Financial_Education,1
FI_000395,financial literacy; financial knowledge,FIT6_Financial_Education,1
FI_000396,cbdc; central bank digital currency; central bank digital currencies,FIT8_Blockchain_DLT,1
FI_000397,consumer protection; financial literacy,FIT5_Adapted_Regulation; FIT6_Financial_Education,2
FI_000398,financial literacy,FIT6_Financial_Education,1
FI_000399,,,0
FI_000400,mobile money,FIT1_Mobile_Money,1
FI_000401,,,0
FI_000402,mobile money; money transfer,FIT1_Mobile_Money; FIT4_Workers_Remittances,2
FI_000403,mobile money; mobile wallet,FIT1_Mobile_Money,1
FI_000404,mobile money; retail agent,FIT1_Mobile_Money; FIT2_Nonbank_Distribution,2
FI_000405,mobile money,FIT1_Mobile_Money,1
FI_000406,,,0
FI_000407,mobile money,FIT1_Mobile_Money,1
FI_000408,,,0
FI_000409,m-pesa; mobile money,FIT1_Mobile_Money,1
FI_000410,financial literacy,FIT6_Financial_Education,1
FI_000411,financial literacy,FIT6_Financial_Education,1
FI_000412,financial literacy; financial knowledge; microfinance,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000413,m-pesa; blockchain,FIT1_Mobile_Money; FIT8_Blockchain_DLT,2
FI_000414,cryptocurrencies; blockchain; cryptocurrency; central bank digital currencies,FIT8_Blockchain_DLT,1
FI_000415,alternative data; credit scoring; alternative credit,FIT3_Behavioral_Credit_Risk,1
FI_000416,mobile money,FIT1_Mobile_Money,1
FI_000417,financial regulation; microfinance; microfinance institutions,FIT5_Adapted_Regulation; FIT7_Microfinance_Models,2
FI_000418,financial literacy,FIT6_Financial_Education,1
FI_000419,alternative data; credit scoring,FIT3_Behavioral_Credit_Risk,1
FI_000420,financial literacy; financial capability; financial knowledge,FIT6_Financial_Education,1
FI_000421,group lending; microfinance,FIT7_Microfinance_Models,1
FI_000422,mobile money; microfinance,FIT1_Mobile_Money; FIT7_Microfinance_Models,2
FI_000423,cryptocurrencies; blockchain; cryptocurrency,FIT8_Blockchain_DLT,1
FI_000424,mobile payments; mobile payment,FIT1_Mobile_Money,1
FI_000425,blockchain,FIT8_Blockchain_DLT,1
FI_000426,cross-border payments; cbdc; central bank digital currency; cryptocurrencies; central bank digital currencies,FIT4_Workers_Remittances; FIT8_Blockchain_DLT,2
FI_000427,,,0
FI_000428,,,0
FI_000429,remittances,FIT4_Workers_Remittances,1
FI_000430,consumer protection,FIT5_Adapted_Regulation,1
FI_000431,remittances; remittance,FIT4_Workers_Remittances,1
FI_000432,financial literacy; mfis; microfinance; microfinance institutions,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000433,cbdc; central bank digital currency; central bank digital currencies,FIT8_Blockchain_DLT,1
FI_000434,cbdc; central bank digital currency; central bank digital currencies,FIT8_Blockchain_DLT,1
FI_000435,blockchain,FIT8_Blockchain_DLT,1
FI_000436,microfinance; microfinance institutions,FIT7_Microfinance_Models,1
FI_000437,financial literacy,FIT6_Financial_Education,1
FI_000438,,,0
FI_000439,smart contract; blockchain; smart contracts,FIT8_Blockchain_DLT,1
FI_000440,,,0
FI_000441,blockchain; cryptocurrency; smart contracts,FIT8_Blockchain_DLT,1
FI_000442,financial education; microcredit; mfis; microfinance; microfinance institutions,FIT6_Financial_Education; FIT7_Microfinance_Models,2
FI_000443,financial literacy,FIT6_Financial_Education,1
FI_000444,roscas; microfinance; rotating savings,FIT7_Microfinance_Models,1
FI_000445,,,0
FI_000446,credit scoring; financial literacy,FIT3_Behavioral_Credit_Risk; FIT6_Financial_Education,2
FI_000447,blockchain,FIT8_Blockchain_DLT,1
FI_000448,financial literacy,FIT6_Financial_Education,1
FI_000449,microfinance; blockchain,FIT7_Microfinance_Models; FIT8_Blockchain_DLT,2
FI_000450,financial education,FIT6_Financial_Education,1
FI_000451,mobile money,FIT1_Mobile_Money,1
FI_000452,financial literacy,FIT6_Financial_Education,1
FI_000453,blockchain,FIT8_Blockchain_DLT,1
FI_000454,blockchain,FIT8_Blockchain_DLT,1
FI_000455,blockchain,FIT8_Blockchain_DLT,1
FI_000456,financial literacy,FIT6_Financial_Education,1
