node,count,degree
institutional framework,33,23
default,3,0
microfinance institutions,66,12
artificial neural network,6,0
basel iii,3,0
regression analysis,73,63
bibliometric analysis,60,32
natural resource revenues,1,0
literature review,37,22
micro-insurance,4,0
financial development,72,37
insurance system,15,8
multi-dimensional financial inclusion index,1,0
ranking,1,0
principal component analysis,49,25
principle component analysis,1,0
insurance,38,37
demand-side management,4,1
china,163,157
digitization,56,52
heterogeneity,18,10
poverty determinant,4,0
risk of returning to poverty,1,0
household survey,32,32
risk assessment,75,74
poverty vulnerability,1,0
regulatory framework,18,9
financial stability,66,24
industrial investment,15,9
policy making,30,21
p2p lending,19,8
agent-based finance,1,0
random regression forests,1,0
gross domestic product,16,9
peer-to-peer,4,0
performance assessment,14,8
machine learning,101,97
green finance,10,6
sdgs,29,10
stakeholder,7,1
scientometric,1,0
sustainable development goal,38,38
environmental economics,15,16
sustainable finance,25,9
financial dependence,1,0
competitiveness,8,1
bank competition,9,1
corporate strategy,7,5
firm size,7,0
india,216,158
corporate risk,1,0
bric,1,0
earnings volatility,1,0
russian federation,7,4
brazil,19,13
developing countries,170,128
sme finance,4,0
business development,13,9
africa,135,95
accessibility,67,50
regulatory institutions,1,0
productivity,21,19
capital,11,6
developing world,110,103
business environment,2,0
age threshold,1,0
asean,10,2
database,11,4
global findex,19,2
singapore [southeast asia],2,0
threshold,7,3
financial resilience,28,10
contextual factors,4,0
traditional inclusive finance,1,0
spatial difference,1,0
county,1,0
spatial convergence,1,0
digital inclusive finance,63,31
reliability,9,9
financial access,97,55
social media,22,15
companies,4,0
disclosure index,1,0
decent work and economic growth,1,0
determinants,71,42
b2b,1,0
design,18,5
internet financial reporting,1,0
validity,7,3
information communication technologies,2,0
zambia,17,9
social good,2,0
regulation,50,18
financial technologies,12,5
collaboration,4,1
socioeconomic impacts,1,0
romania,6,1
remittances,137,65
balkans countries,1,0
migration,42,29
hci design,1,0
e-banking,15,4
low-wage workers,1,0
feedback,2,0
theory x and theory y,1,0
dental education,1,0
generation y,2,0
"schools, dental",1,0
professional standard,2,0
organization,10,6
emotion,7,8
professional role,1,0
emotional bank account,1,0
trust,70,39
emotions,9,4
"students, dental",1,0
feedback system,1,0
organizational culture,3,0
human relation,8,8
intergenerational relations,1,0
social environment,4,2
"faculty, dental",1,0
dental student,1,0
psychological aspect,8,7
activity theory,3,0
mobile network operators,13,8
mobile money ecosystem,2,0
income management,2,0
indigenous policy,1,0
conditional welfare,1,0
program evaluation,10,10
social banking,5,0
rural poverty,2,0
finance and development,1,0
growth,65,49
women engaged in sex work,1,0
follow up,17,34
epidemiology,25,51
sexually transmitted disease,3,9
coronavirus disease 2019,12,18
sexual intercourse,1,0
condom use,6,19
lockdown,7,8
economic aspect,29,57
unprotected sex,5,20
vocational education,3,1
empowerment,86,110
sex workers,7,25
human immunodeficiency virus prevalence,3,9
sexually transmitted diseases,2,0
risk reduction,6,20
participatory research,1,0
human immunodeficiency virus infection,22,65
risk reduction behavior,2,0
longitudinal study,11,24
sex worker,9,26
uganda,51,44
program efficacy,1,0
trichomoniasis,1,0
hiv prevention,3,6
condomless sex,1,0
gonorrhea,1,0
chlamydia infection,1,0
hiv infections,18,55
female sex workers,1,0
sexual behavior,16,44
point prevalence,1,0
implementation process,3,0
training,13,10
madhya pradesh,2,0
rural area,49,61
rural banks,3,0
attitudes,7,0
behavior,64,84
eurasia,8,4
asia,24,13
index of financial inclusion,10,2
development,56,28
online microfinance,1,0
income distribution,32,24
conceptual framework,23,22
over-indebtedness prevention,1,0
self-regulation,1,0
hispaniola,1,0
paradigm shift,1,0
financial practices,2,0
dominican republic,2,0
qualitative analysis,19,18
bangladesh,67,44
endogeneity,7,0
canada,6,0
payday loan,1,0
ivprobit,1,0
microcredit,92,49
regulatory approach,4,0
convergence of financial inclusion,2,0
spatial econometrics,8,4
econometrics,25,22
panel data,63,38
spatial analysis,14,5
index method,3,1
womens status,28,31
pakistan,42,30
cultural influence,2,0
entrepreneur,49,39
poverty reduction,45,23
entrepreneurs,8,2
financial poverty,1,0
human poverty,1,0
social exclusion,10,5
gender issue,7,3
nigeria,71,37
savings behavior,20,7
informal sector,39,20
power relations,2,0
subpopulation,1,0
global south,9,1
state,4,2
financial regulation,29,9
bank account ownership,5,1
mount darwin,1,0
rural finance,49,38
nutrition,8,7
guruve,1,0
zimbabwe,20,6
factor analysis,19,7
quantitative analysis,17,13
correlation,6,0
systematic review,44,32
measures,4,0
confirmatory factor analysis,3,0
credit access,15,4
west pokot,1,0
pastoralism,1,0
seemingly unrelated regression,3,0
crowding out,1,0
multivariate probit model,2,0
capital market,11,4
estimation method,18,8
philippines,16,7
informal lender,1,0
high-income countries,2,0
gender role,12,9
multiple correspondence analysis,6,3
index,17,5
multidimensional measurement,1,0
development strategy,4,2
socioeconomic indicator,5,0
low income population,23,13
socioeconomic conditions,14,6
low- and middle-income countries,3,1
overindebtedness,3,0
nonbanking financial services,1,0
egypt,11,7
living standard,9,3
well-being,18,2
impact,93,72
formal credit,10,1
social inclusion,58,43
gender relations,10,6
gender equality,24,9
digital financial services,68,32
investment,99,87
savings,130,90
senegal,11,3
neighborhood,4,2
neighbourhood social capital,1,0
rct,1,0
social capital,41,12
account activity,1,0
text message reminders,1,0
buzzword,1,0
technology adoption,88,51
account ownership,11,2
inclusive human development,1,0
southern ghana,1,0
smallholder,19,12
agricultural labor,1,0
agricultural market,1,0
recursive bivariate probit,2,0
participatory approach,3,0
smallholder maize farmers,1,0
waemu,14,2
monetary union,3,0
monetary policy,42,13
credit,97,43
moneylenders,3,0
cooperative banks,2,0
financial inclusion drive,1,0
primary agricultural credit societies,1,0
programs,2,0
household livelihood,2,0
panel-data,16,15
income inequality,49,37
developing economies,33,19
meta-analysis,12,3
access,88,62
covid-19 effect,1,0
peru,17,11
service provision,9,3
experimental study,20,11
network-based information experiment,1,0
asymmetric information,9,1
information technology,30,19
the global south,1,0
community savings groups,1,0
vicoba,1,0
decision,2,0
loss aversion,1,0
internet banking,21,6
credit risk,22,9
market,11,6
institutions,32,17
equity,6,0
firm,5,0
microfinance regulation,2,0
cameroon,17,7
behavioral biases,3,0
indigenous households,1,0
cambodia,10,2
interest rate cap,2,0
money management,15,5
insurance services,1,0
optimal loan,1,0
markovian chains,1,0
progressive lending,1,0
momo,1,0
nfis,1,0
gender-based policies,1,0
fsqca,5,2
e-wallet program,11,17
multinational oil companies,3,1
strategies,8,1
inequality,70,54
empowering women,6,4
delta,1,0
industry,11,5
sustainable cultural tourism,1,0
logit model,6,1
gender inequality,17,7
developing-countries,6,2
digital inclusion,17,4
context,1,0
"poor communities, and developing nations",1,0
culture,13,2
analgesia,1,0
palliative therapy,1,0
neoplasm staging,1,0
palliative care,1,0
histology,1,0
therapy,4,3
head and neck cancer,1,0
data source,2,0
nasopharynx,1,0
head and neck tumor,2,0
charlson comorbidity index,1,0
head and neck neoplasms,2,0
health services research,2,0
cancer staging,2,0
treatment outcome,4,3
larynx,1,0
mouth cavity,1,0
oropharynx,1,0
ethnology,9,16
anderson model,1,0
practice guideline,6,4
behavior assessment,2,0
electronic transaction levy,2,0
mobile money service,3,0
ghanaian government,1,0
theory of reasoned action,4,0
pmjdy (pradhan mantri jan-dhan yojana),1,0
online banking,23,10
"child, orphaned",5,13
orphaned child,5,13
acquired immune deficiency syndrome,2,0
acquired immunodeficiency syndrome,3,2
child,35,82
child welfare,3,4
housing tenure,1,0
renters,1,0
financial fragility,11,3
emergency savings,10,2
homeownership,4,0
socioeconomic profile,1,0
poor fishing households,1,0
rural financial intermediation,2,0
welfare,19,6
finandial diaries,1,0
remittance inflow,1,0
skilled labor,2,0
labor mobility,1,0
incentive,11,5
industry structure,1,0
labor mobility preferences,1,0
labor migration,2,0
common prosperity,6,1
industrial structure,5,2
vector autoregression,2,0
financial depth,3,0
financial efficiency,10,2
migrants remittance,18,12
international organization,3,1
tax system,2,0
carbon emissions,9,5
cs-ardl,3,0
remittance,61,32
environmental quality,8,3
carbon emission,16,15
netherlands,5,0
europe,17,8
socially responsible investment,1,0
benelux,2,0
world,8,3
western europe,2,0
eastern hemisphere,3,2
undernourishment,1,0
food prices,1,0
food market,1,0
panel data econometrics,1,0
food production,2,0
violence,7,14
south africa,54,35
green energy,2,0
entrepreneurial activities,1,0
environmental policy,6,6
kyoto protocol,3,0
ecological footprint,2,0
urban development,4,2
environmental policies,1,0
equality of opportunity,1,0
income mobility,2,0
sub-sahara africa,4,0
gender inclusion,3,0
private sector,10,8
un 2050 sdgs,1,0
united nations,10,5
green economy,15,16
urbanization,8,1
prisma,7,0
un 2030 sdgs,1,0
cop 29,1,0
vosviewer,12,4
biblioshiny,3,0
rstudio,1,0
climate resilience,4,1
african countries,3,0
antenatal care,2,0
regional disparities,4,1
maternal health,8,16
fintech innovation,3,0
environment social governance,1,0
kinship,2,0
mobile phones,30,25
trustlessness,1,0
chronotope,1,0
economic crisis,7,0
inflation,46,29
cryptocurrencies,32,16
play-to-earn,1,0
crypto games,1,0
necessity entrepreneurship,1,0
base of the pyramid (bop),2,0
microenterprise,15,6
emerging economies,41,18
microenterprises,8,2
poverty and gender,1,0
female labor participation,1,0
cross-sectional dependence,1,0
emotional well-being,1,0
financial deficit,5,10
anxiety,11,19
labor,7,3
cohort analysis,9,17
mental health,24,38
very elderly,13,21
instrumental variable analysis,5,9
australia,13,7
high rate,1,0
community,7,3
demonetization,9,0
communities,2,0
group-lending,1,0
management journals,1,0
strategic management,4,0
loan defaults,2,0
condition,4,1
loan default,2,0
group lending,7,1
social ties,3,0
financial literacy and financial well-being,1,0
female bank account ownership,1,0
female economic integration,1,0
quantile regressions,1,0
unemployment,24,16
womens employment,6,1
formal economic sector,1,0
inclusivity,4,0
inclusive development,12,8
sdg5,2,0
gender disparity,21,17
imf,6,2
digital assets,10,4
development indicator,1,0
gharbi and kammoun's financial inclusion index (2023),1,0
digital use,1,0
regional economy,12,5
economic resilience,3,0
indo-pacific economic framework (ipef),1,0
remittance economy,1,0
regulatory objective,1,0
tiered regulatory framework,1,0
global entrepreneurship monitor,2,0
educational attainment level,1,0
entrepreneurial activity,6,0
woman entrepreneur,2,0
female entrepreneur,2,0
web3,5,4
market-maker,1,0
open-source,1,0
smart contracts,39,31
liquidity provider,1,0
liquidity pool,1,0
balancer finance,1,0
smart contract,45,39
crytocurrency,1,0
uniswap,1,0
dex,2,0
decentralized exchange,3,3
curve finance,1,0
cryptocurrency trading,1,0
ethereum,15,10
automated market maker,1,0
amm,1,0
open source,1,0
web portals,2,0
consumer protection,38,22
budget control,7,3
secondary sources,2,0
learning management system,1,0
portals,3,0
electronic commerce,56,47
competencies,3,0
advanced technology,10,7
digital dementia,1,0
social sciences computing,9,1
neurodegenerative diseases,1,0
grameen bank,2,0
rural bangladesh,1,0
financial inclusion/exclusion,2,0
ngo,3,0
microfinance (microcredit),1,0
satisfaction with personal wealth,2,0
satisfaction with standard of living,2,0
life satisfaction,10,5
subjective material well-being,1,0
quality of life,35,39
subjective well-being,11,3
diaspora,2,0
technology,91,82
private capital flows,1,0
spreadsheet applications,1,0
domestication,1,0
ict4d,8,5
semi structured interviews,4,1
information communication technology,4,0
"western cape , south africa",1,0
stokvel,1,0
computer science,5,0
informatics,1,0
computers,3,0
savings and credit associations,1,0
software design,4,0
user centered design,4,0
information services,7,1
mathematical instruments,1,0
user experience,11,1
financial advisor,2,0
user interfaces,8,0
on-line service,2,0
user-centered design,2,0
online services,1,0
information use,43,42
digital services,10,6
information systems,67,60
bank charges,2,0
online calculators,1,0
data mining,20,12
banking institutions,8,0
decision tree,5,1
client,1,0
decision theory,3,0
decision trees,15,17
extensive-form games,1,0
individual respondents,1,0
game theory,5,0
client index,1,0
pay-off matrix,1,0
products and services,3,0
bargaining,1,0
information literacy,2,0
cashless economy,9,2
mobile literacy,1,0
poor,30,17
libraries,2,0
surveys,33,22
social network diffusion model,1,0
financial transactions,36,25
adoption behavior,8,0
diffusion of innovations,3,0
diffusion mechanisms,1,0
mobile subscribers,1,0
network diffusions,1,0
diffusion of innovation,4,0
mtn cameroon,1,0
m-shwari,3,1
networks,6,3
information-systems,2,0
excluded segments,1,0
inclusive digital innovations,1,0
open access,5,0
ethnography,8,5
digital wallet,13,4
social aspects,8,9
paytm,1,0
digital wallets,18,11
compatibility and consistency,1,0
utility and user guidance,1,0
consumer behavior,47,36
flexibility,3,0
automated teller machines,6,2
perceptual limitation,1,0
students,33,27
automated teller machine,3,1
human computer interaction,19,6
user guidance,1,0
gerontological social work,1,0
behavioral economics,14,6
retirement savings,6,2
life course,2,0
financial insecurity,1,0
work-flows,2,0
field trial,1,0
qualitative study,5,1
ictd,10,9
sociocultural practices,2,0
financial managements,10,6
user study,2,0
user studies,1,0
user groups,2,0
hci4d,3,0
multi-signature,1,0
stellar anchor,1,0
utxo aggregation,1,0
computer privacy,1,0
multisignature,1,0
distributed nodes,1,0
bitcoin,34,17
stellar,1,0
technical solutions,1,0
data privacy,31,40
stars,2,0
low and middle income countries,1,0
fee reduction,1,0
stellar asset,1,0
mathematical models,3,1
mathematical modeling,2,0
financial contracts,1,0
planning,12,9
optimization problems,1,0
decision making tool,1,0
risk of non repayment,1,0
model and simulation,1,0
intelligent systems,2,0
burkina faso,11,2
disruptive financial technology,1,0
m-pesa,22,8
disruptive technologies,1,0
unbanked-poor,1,0
border economy,1,0
money ecologies and repertoires,1,0
monetary practices,2,0
commodity money,1,0
invisible borders,1,0
preprocessing modules,1,0
cross validation,1,0
10-fold cross-validation,1,0
support vector regression,4,3
low-income earner,1,0
experimental application,1,0
small scale business,1,0
large dataset,6,3
employment rates,1,0
governance,35,21
good governances,1,0
nature-based solutions,1,0
forest landscape restoration,1,0
land degradation neutrality,1,0
ecosystems governance,1,0
mitigation,7,1
east africa,13,4
incentive mechanism,2,0
enhancement,1,0
payment system,8,2
economic inclusion,3,0
islamic fintech,10,3
microtakaful,2,0
gcc,4,0
microinsurance,12,2
rebittance,1,0
financial decisions,15,9
quantitative research,2,0
research methodologies,2,0
use behavior,2,0
specific interaction,1,0
facilitating conditions,7,2
behavioral intention,23,11
utaut2,14,9
social networking (online),20,15
moderators,3,0
unified theory of acceptance and use of technology,5,1
computation theory,5,0
cultural factors,3,0
internet technology,1,0
credit scoring,73,63
digital humans,1,0
credit assessment,8,5
financial risk,6,0
social reputation,1,0
digital transformation,51,32
federated learning,7,5
lifelong education,1,0
life long learning,2,0
education industry,1,0
e-learning,11,8
education computing,2,0
innovative technology,3,1
engineering education,14,9
technological progress,5,0
computer aided instruction,1,0
web-based learning platforms,1,0
climate change resilience,1,0
climate extremes and disasters (ced),1,0
microfinance institution,13,2
adaptation,1,0
least developed countries,2,0
international adaptation finance,1,0
gender and poverty,1,0
gender gaps,4,1
financialisation,14,5
gender as smart economics,1,0
global system for mobile communications,59,43
mobile payments,44,20
mobile telecommunication systems,19,20
mobile penetrations,2,0
service provider,9,4
secondary datum,5,3
diffusion,21,14
digital payments,61,28
postal services,1,0
payment banks,3,1
least squares approximations,20,16
primary modality,1,0
partial least square (pls),6,3
continuance intention,6,0
continuance intentions,4,1
mobile wallet,18,5
adoption,80,65
empirical studies,12,5
structural equation modeling,33,24
adoption intention,8,1
comprehensive research,1,0
perceived ease of use,15,8
strategic changes,1,0
tam,17,11
payment bank,3,0
indian government,8,5
social influence,15,9
perceived usefulness,22,12
portable identity,1,0
smart card,1,0
internet,46,40
identity,12,6
subsidies,2,0
ration card,1,0
public distribution systems,1,0
privacy,29,16
data,3,0
digital architecture,1,0
aadhaar,3,0
centralized identity,1,0
public infrastructure,1,0
government,47,53
central bank digital currencies,11,5
payments,22,11
crypto-assets,2,0
e-money,12,0
emerging market and developing economies,1,0
stablecoins,14,12
social,5,1
islamic,2,0
commercial,1,0
integration,7,2
estonia,3,0
latvia,3,0
georgia,5,0
voluntary factors,1,0
mauritania,4,2
microfinance organization,2,0
financial fraud,9,4
the central bank of the russian federation,1,0
financial fraudsters,1,0
risk perception,18,7
online collection,1,0
inclusive finances,45,33
security of data,9,2
use social networks,1,0
information asymmetry,14,5
sales,44,37
operational risks,4,0
big data,51,36
customer information,2,0
financial modeling,6,2
behavior characteristic,1,0
federated transfer learning,1,0
digital storage,17,11
model reasonings,1,0
secure data storage,1,0
learning systems,39,54
learning models,1,0
secure storage,1,0
privacy by design,4,0
data dispersion,1,0
transfer learning,5,0
decentralized identity,2,0
financial portfolio,1,0
data analytics,19,19
remote service,1,0
indicator,2,0
community bank,2,0
solidarity finance,2,0
local development,2,0
agent-based modeling,1,0
framework for muslim and non-muslim countries,1,0
sustainable development and economic stability,1,0
financial inclusion through equal distribution of wealth,1,0
mapping the sdgs with maqasid al-shariah,1,0
islamic esgs,1,0
islamic financial institutions,3,0
mbti,1,0
credit score,9,3
personality traits,8,1
export market penetration index,1,0
asian and african countries,1,0
islamic mutual funds investment,1,0
graph machine learning,1,0
alternative data,16,14
super-app,2,0
cash,7,0
emerging economy,7,0
mobile technology,15,8
cocoa farmers,1,0
cocoa,3,1
financial institution,61,40
digital india,3,0
human lives,2,0
electronic trading,12,18
emerging trends,2,0
financial services industries,5,1
digital agriculture,1,0
agricultural robots,5,1
traceability systems,1,0
digital platform,5,0
scoping review,5,0
information management,48,41
farm management systems,1,0
smallholder farmers,12,5
agriculture sectors,1,0
innovation system,2,0
food systems,3,0
food retailers,1,0
monze,1,0
food security,40,32
mumbwa,1,0
identity management,3,3
personal information,6,1
personal privacy,1,0
internet of things,20,11
healthcare,8,6
cyber-security,1,0
cyber security,22,24
cybersecurity,27,27
iot,6,1
cashless payment systems,1,0
sustainable technology,1,0
jordan,17,3
conceptual analysis,2,0
glocalization,1,0
legal regulations,2,0
payment services,10,9
customer-centric,2,0
base of the pyramid,3,0
credit card ownership,1,0
debit card ownership,1,0
bayesian regression,1,0
islamic trade finance,1,0
islamic regulatory system,1,0
women empowerment,46,17
moving beyond financial inclusion,1,0
iot awareness,1,0
