source,target,weight
article,food insecurity,7
article,environmental factor,6
article,food security,7
article,conceptual framework,7
article,information processing,13
article,lowest income group,20
article,diagnosis,3
article,fruit,3
article,health promotion,4
article,vegetable,4
article,vegetables,3
article,feeding behavior,4
article,incentive,3
article,economic incentive,4
article,semi structured interview,7
article,motivation,7
article,choice behavior,3
article,prospective studies,3
article,community,3
article,disease association,3
article,prospective study,3
article,family relation,4
article,mental stress,3
article,financial stress,5
article,clinical feature,3
article,patient education,3
article,geographic distribution,5
article,financial security,3
article,self report,6
article,stroke,3
article,manitoba,3
article,women,3
article,cell phone use,4
article,financial inclusions,3
article,rural area,13
article,empiricism,5
article,student,7
article,asset building,3
article,organisation for economic co-operation and development,3
article,microfinance,10
article,juvenile,8
article,human immunodeficiency virus,4
article,nonhuman,3
article,child care,3
article,economic status,3
article,cost effectiveness analysis,4
article,commercial phenomena,11
article,attitude to health,15
article,knowledge,10
article,health center,3
article,digital technology,8
article,rural population,12
article,sustainable development,7
article,health status,8
article,commerce,4
article,traffic and transport,3
article,social welfare,3
article,consumption behavior,3
article,quality of life,11
article,sport,3
article,health care,10
article,interpersonal communication,8
article,manager,4
article,blockchain,3
article,entrepreneurship,5
article,program evaluation,4
article,systematic review,8
article,communication,3
article,developing countries,7
article,behavior change,7
article,developing country,8
article,workplace,6
article,bangladesh,6
article,contraception behavior,3
article,contraceptive behavior,4
article,"aged, 80 and over",8
article,descriptive research,3
article,human tissue,3
article,uterine cervix cancer,4
article,risk factors,6
article,primary health care,4
article,trends,3
article,women's health,6
article,primary medical care,3
article,obesity,5
article,health care organization,3
article,observational study,4
article,organization and management,9
article,social network,3
article,health care delivery,17
article,hypertension,3
article,medical education,4
article,clinical protocol,3
article,budget,3
article,tax,5
article,cost benefit analysis,5
article,infection prevention,5
article,power (psychology),3
article,health education,6
article,cost-benefit analysis,3
article,caregiver,4
article,schools,4
article,resource allocation,5
article,school,6
article,"child, orphaned",3
article,orphaned child,3
article,sexual health,6
article,primary school,4
article,school child,3
article,cost,4
article,communication disorder,3
article,thematic analysis,6
article,emotional stress,3
article,social participation,3
article,social inclusion,3
article,"health knowledge, attitudes, practice",12
article,sociodemographics,4
article,economic development,14
article,financial market,8
article,sustainable development goal,3
article,environmental sustainability,3
article,kenya,16
article,vulnerable population,3
article,comparative study,6
article,data analysis,7
article,coping behavior,10
article,"adaptation, psychological",6
article,transactional sex,4
article,stress,4
article,social status,15
article,health service,14
article,social determinants of health,4
article,delivery of health care,4
article,statistics and numerical data,8
article,students,5
article,fast food,3
article,food intake,4
article,marketing,4
article,theoretical study,10
article,disabled persons,4
article,mental health service,3
article,social security,3
article,disability,3
article,mental disease,6
article,health services needs and demand,4
article,mental disorders,3
article,validity,4
article,disabled person,6
article,age,13
article,socioeconomic status,5
article,cardiovascular disease,3
article,infant,6
article,maternal health,5
article,family planning,5
article,health care utilization,9
article,statistical model,11
article,access,3
article,"child, preschool",5
article,travel,3
article,family planning services,3
article,child health,3
article,utilization,4
article,health services,7
article,logistic models,8
article,preschool child,4
article,household survey,3
article,health care surveys,4
article,public health,8
article,health program,5
article,addiction,3
article,social support,9
article,consultation,3
article,health care financing,5
article,health care policy,9
article,"infant, newborn",4
article,chronic disease,4
article,peru,3
article,mortality,4
article,morbidity,3
article,social psychology,4
article,physiology,3
article,credit provision,3
article,partner violence,5
article,spouses,5
article,intimate partner violence,4
article,husband,3
article,migration,4
article,retirement,4
article,europe,3
article,probability,11
article,family relations,3
article,health surveys,3
article,contraception,5
article,reproductive health,7
article,maternal welfare,4
article,nigeria,4
article,pilot study,6
article,malawi,4
article,cooperative behavior,3
article,south africa,3
article,clinical trial,4
article,climate change,4
article,linear models,3
article,prediction,6
article,analysis of variance,3
article,pregnant woman,3
article,attention,4
article,experimental study,4
article,pakistan,3
article,sex factor,4
article,sex factors,7
article,gender inequality,3
article,digitization,3
article,digital inclusive finance,3
article,africa,4
article,adoption,5
article,text messaging,3
article,mobile phone,4
article,normal human,5
article,age factors,4
article,ethics,3
article,organizational policy,3
article,religion,4
article,employee,7
article,city,3
article,mobile banking,3
article,peer pressure,3
article,ethiopia,9
article,infection risk,3
article,longitudinal studies,3
article,law,3
article,housing,4
article,hiv,4
article,data base,3
article,sample size,3
article,evidence based practice,3
article,randomized controlled trial (topic),4
article,randomized controlled trials as topic,4
article,social work,5
article,consciousness,3
article,physical activity,4
article,loneliness,3
article,exercise,3
article,community care,3
article,pandemic,6
article,interviews as topic,4
article,cultural anthropology,3
article,pilot projects,4
article,feasibility study,5
article,logistic regression analysis,5
article,health care personnel,4
article,health care facility,6
article,rural health care,3
article,public health service,3
article,employer,3
article,reimbursement,3
article,pharmaceutics,5
article,awareness,8
article,care behavior,4
article,rural health,3
article,prevalence,8
article,health economics,3
article,insurance,8
article,analytic method,3
article,insurance coverage,4
article,health care costs,3
article,risk-taking,5
article,sexuality,3
article,newborn,3
article,cost control,4
article,labor market,3
article,mobile application,3
article,economic evaluation,3
article,family structure,7
article,brazil,3
article,information technology,4
article,pandemics,5
article,statistics,6
article,health care quality,3
article,unemployment,3
article,workforce,3
article,"insurance, health",3
article,married woman,3
article,bank employee,3
article,parents,4
article,parent,3
article,violence,3
article,methodology,4
article,cancer patient,3
article,structured questionnaire,3
article,principal component analysis,5
article,theoretical model,4
article,malaria,3
article,"models, theoretical",4
article,factor analysis,3
article,saudi arabia,3
article,vulnerability,3
article,public sector,3
article,social aspect,4
article,risk management,4
article,private sector,3
article,economic model,9
article,"models, economic",9
article,ethnicity,5
article,sars-cov-2,5
article,hypothesis,3
article,gross national product,3
article,mobile payment,3
article,open access publishing,3
article,financial system,3
article,developed country,3
article,developed countries,3
female,adult,187
female,health insurance,20
female,socioeconomic factors,36
female,united states,24
female,human,227
female,california,4
female,retrospective studies,3
female,health care access,21
female,priority journal,22
female,ethnic group,4
female,adolescent,65
female,pregnancy,13
female,poverty,30
female,health services accessibility,18
female,middle aged,91
female,kenya,16
female,prevention and control,10
female,"banking, personal",34
female,risk-taking,4
female,sex work,6
female,reward,6
female,bank account,88
female,alcohol drinking,3
female,male,173
female,prostitution,8
female,humans,175
female,young adult,61
female,economics,50
female,motivation,9
female,randomized controlled trial,18
female,controlled study,68
female,high risk behavior,9
female,financial stress,6
female,cross-sectional study,47
female,health care cost,19
female,"insurance, health",5
female,cross-sectional studies,42
female,health expenditures,8
female,retrospective study,5
female,economic well-being,7
female,case control study,3
female,household,28
female,socioeconomics,41
female,aged,48
female,demographics,8
female,major clinical study,60
female,registration,3
female,united kingdom,3
female,gardening,3
female,clinical outcome,3
female,propensity score,4
female,supermarket,3
female,decision making,26
female,case-control studies,3
female,employment,7
female,age,12
female,public health,7
female,rural population,16
female,procedures,24
female,financial management,46
female,surveys and questionnaires,32
female,questionnaire,43
female,mobile phone,5
female,age factors,5
female,national health programs,3
female,sex factor,5
female,"financing, personal",12
female,sex factors,8
female,economic empowerment,5
female,follow up,14
female,epidemiology,21
female,sexually transmitted disease,3
female,coronavirus disease 2019,4
female,condom use,4
female,economic aspect,13
female,unprotected sex,5
female,empowerment,18
female,income,40
female,sex workers,7
female,human immunodeficiency virus prevalence,3
female,risk reduction,6
female,human immunodeficiency virus infection,18
female,longitudinal study,9
female,sex worker,8
female,uganda,6
female,literacy,19
female,covid-19,4
female,hiv infections,16
female,sexual behavior,15
female,ethnology,8
female,productivity,3
female,financial deficit,4
female,anxiety,8
female,household income,10
female,public policy,5
female,cohort analysis,8
female,mental health,13
female,debt,3
female,very elderly,12
female,instrumental variable analysis,4
female,australia,5
female,savings,7
female,psychology,44
female,"aged, 80 and over",11
female,india,15
female,animals,3
female,animal,3
female,caregivers,3
female,caregiver,6
female,family characteristics,15
female,outcome assessment,14
female,ghana,4
female,wellbeing,12
female,family size,6
female,financial inclusion,22
female,south africa,5
female,condoms,3
female,condom,3
female,students,7
female,power (psychology),8
female,sexuality,6
female,sexual partners,4
female,prevention,4
female,behavior,24
female,utilization,6
female,women,8
female,student,8
female,unsafe sex,3
female,hiv,6
female,health,4
female,mentor,3
female,perception,7
female,human experiment,39
female,human immunodeficiency virus infected patient,4
female,sub-saharan africa,8
female,parity,6
female,breast neoplasms,4
female,early detection of cancer,5
female,risk assessment,8
female,cultural factor,4
female,mother,7
female,internet access,4
female,cancer risk,3
female,aging,6
female,health survey,21
female,urban area,6
female,mass screening,4
female,risk factor,16
female,breast tumor,4
female,help seeking behavior,9
female,cancer screening,5
female,health behavior,16
female,early cancer diagnosis,5
female,patient acceptance of health care,11
female,patient attitude,11
female,breast cancer,3
female,alcohol consumption,5
female,social class,7
female,spouse,7
female,money,20
female,qualitative analysis,6
female,married person,3
female,quantitative analysis,6
female,marriage,21
female,finance,16
female,qualitative research,20
female,content analysis,3
female,friend,4
female,social security,5
female,mental disorders,6
female,mental disease,9
female,"adaptation, psychological",9
female,"health knowledge, attitudes, practice",14
female,statistics and numerical data,13
female,attitude to health,17
female,uterine cervical neoplasms,4
female,sex difference,13
female,financial capability,13
female,financial education,5
female,education,25
female,consumer behavior,12
female,climate change,3
female,china,12
female,consumer attitude,12
female,choice behavior,4
female,sustainable development,5
female,financial literacy,17
female,occupation,4
female,structural equation modeling,7
female,personal finance,4
female,government,13
female,partial least squares regression,4
female,investment,6
female,investments,3
female,technology,6
female,agricultural worker,3
female,agriculture,3
female,reproducibility,4
female,attitude,11
female,learning,4
female,emotion,4
female,consumer,10
female,reliability,4
female,algorithm,3
female,banking,6
female,human relation,3
female,artificial intelligence,4
female,likert scale,6
female,cognition,5
female,clinical article,11
female,demography,9
female,policy,3
female,personal experience,5
female,educational status,16
female,socialization,3
female,adolescent girls,3
female,child,30
female,internet,6
female,regression analysis,6
female,gender,15
female,satisfaction,4
female,iran,3
female,catering service,8
female,food,7
female,food supply,6
female,focus groups,7
female,participation,3
female,urban population,6
female,food insecurity,9
female,environmental factor,4
female,interview,21
female,food security,9
female,conceptual framework,5
female,information processing,9
female,lowest income group,18
female,diagnosis,4
female,fruit,3
female,health promotion,5
female,vegetable,4
female,vegetables,3
female,feeding behavior,5
female,economic incentive,3
female,diet,5
female,semi structured interview,5
female,prospective studies,5
female,neuropsychological tests,3
female,incidence,3
female,neuropsychological test,3
female,disease association,3
female,social behavior,8
female,prospective study,5
female,family relation,3
female,mental stress,5
female,clinical feature,3
female,patient education,3
female,geographic distribution,3
female,financial security,3
female,self report,9
female,stroke,3
female,manitoba,3
female,cell phone use,3
female,physician,3
female,microfinance,11
female,juvenile,5
female,human immunodeficiency virus,6
female,nonhuman,5
female,children,3
female,groups by age,3
female,physical activity,4
female,bank employee,4
female,zambia,3
female,obesity,5
female,prevalence,11
female,employee,5
female,risk factors,9
female,hypertension,3
female,digital technology,5
female,highest income group,3
female,health status,9
female,commerce,3
female,commercial phenomena,5
female,developing countries,4
female,behavior change,3
female,program evaluation,4
female,developing country,6
female,training,3
female,workplace,5
female,bangladesh,6
female,interviews as topic,7
female,fraud,6
female,lifestyle,3
female,health care policy,8
female,social interaction,5
female,contraception behavior,5
female,contraceptive behavior,7
female,descriptive research,3
female,human tissue,5
female,uterine cervix cancer,3
female,primary health care,3
female,trends,3
female,women's health,5
female,primary medical care,3
female,observational study,3
female,organization and management,8
female,social network,3
female,health care delivery,12
female,interpersonal communication,6
female,clinical assessment,5
female,medical education,4
female,clinical protocol,3
female,budget,4
female,tax,4
female,self concept,9
female,cost benefit analysis,3
female,infection prevention,5
female,cost effectiveness analysis,3
female,health education,5
female,schools,4
female,school,6
female,"child, orphaned",4
female,orphaned child,4
female,sexual health,6
female,primary school,4
female,school child,4
female,cost,4
female,psychometry,5
female,ethnicity,5
female,reproducibility of results,3
female,psychometrics,5
female,communication disorder,3
female,thematic analysis,5
female,emotional stress,3
female,sociodemographics,3
female,health care,8
female,vulnerable population,5
female,comparative study,5
female,data analysis,6
female,coping behavior,11
female,transactional sex,4
female,stress,4
female,social status,15
female,health service,13
female,social determinants of health,4
female,delivery of health care,4
female,conference paper,3
female,distress syndrome,3
female,psychological well-being,3
female,fast food,4
female,food intake,3
female,victim,3
female,theoretical study,3
female,disabled persons,4
female,mental health service,3
female,disability,3
female,health services needs and demand,4
female,disabled person,5
female,socioeconomic status,3
female,infant,9
female,mothers,4
female,maternal health,5
female,family planning,8
female,health care utilization,7
female,statistical model,8
female,access,3
female,"child, preschool",9
female,fever,3
female,travel,3
female,family planning services,5
female,child health,3
female,health services,3
female,logistic models,7
female,preschool child,8
female,health care surveys,4
female,rural area,13
female,health care financing,4
female,"infant, newborn",5
female,social psychology,3
female,physiology,3
female,married woman,4
female,partner violence,9
female,violence,4
female,awareness,8
female,womens status,3
female,financial services,3
female,husband,4
female,depression,7
female,spouses,6
female,intimate partner violence,7
female,migration,5
female,health surveys,5
female,contraception,7
female,reproductive health,9
female,maternal welfare,4
female,pilot study,6
female,malawi,3
female,clinical trial,4
female,health program,4
female,prediction,4
female,analysis of variance,3
female,nutrition,3
female,vulnerable populations,3
female,pregnant woman,3
female,psychological aspect,6
female,consultation,3
female,pakistan,3
female,economic development,4
female,ethiopia,10
female,insurance,9
female,insurance coverage,5
female,normal human,6
female,determinants,5
female,social worker,3
female,multivariate analysis,3
female,knowledge,9
female,financial knowledge,3
female,skill,3
female,universities,3
female,university,3
female,infection risk,3
female,longitudinal studies,3
female,housing,4
female,cohort studies,3
female,randomized controlled trial (topic),4
female,randomized controlled trials as topic,4
female,systematic review,5
female,fintech,3
female,social work,6
female,quality of life,6
female,exercise,3
female,prescription,3
female,logistic regression analysis,6
female,self help,3
female,newborn,4
female,self-help groups,3
female,community care,4
female,social support,8
female,cultural anthropology,3
female,pilot projects,4
female,feasibility study,3
female,health care personnel,4
female,health care facility,9
female,rural health care,3
female,"stress, psychological",3
female,brazil,4
female,job satisfaction,4
female,personal autonomy,4
female,theoretical model,4
female,"models, theoretical",4
female,peru,3
female,indigenous people,3
female,rural health,3
female,mortality,3
female,health economics,3
female,analytic method,3
female,health care costs,5
female,family structure,11
female,statistics,4
female,health care quality,3
female,controlled clinical trial,3
female,machine learning,3
female,burnout,3
female,health facilities,5
female,parents,3
female,sexual and reproductive health,4
female,methodology,3
female,malaria,4
female,nigeria,3
female,cost control,3
female,cancer patient,3
female,structured questionnaire,3
female,probability,4
female,healthcare,3
female,saudi arabia,5
female,public sector,3
female,social aspect,3
female,adoption,3
adult,health insurance,20
adult,socioeconomic factors,31
adult,united states,24
adult,human,202
adult,california,4
adult,health care access,19
adult,priority journal,16
adult,ethnic group,4
adult,adolescent,53
adult,pregnancy,13
adult,poverty,24
adult,health services accessibility,17
adult,middle aged,88
adult,kenya,14
adult,prevention and control,8
adult,"banking, personal",33
adult,risk-taking,4
adult,sex work,6
adult,reward,4
adult,gambling,3
adult,bank account,79
adult,alcohol drinking,3
adult,male,142
adult,prostitution,8
adult,humans,150
adult,young adult,60
adult,economics,46
adult,motivation,8
adult,randomized controlled trial,11
adult,controlled study,57
adult,high risk behavior,9
adult,financial stress,6
adult,cross-sectional study,37
adult,health care cost,17
adult,"insurance, health",5
adult,cross-sectional studies,34
adult,health expenditures,7
adult,retrospective study,4
adult,leisure,3
adult,economic well-being,7
adult,case control study,3
adult,household,28
adult,socioeconomics,37
adult,aged,44
adult,demographics,8
adult,major clinical study,52
adult,united kingdom,3
adult,gardening,3
adult,clinical outcome,3
adult,propensity score,4
adult,supermarket,3
adult,decision making,26
adult,case-control studies,3
adult,employment,6
adult,age,10
adult,public health,5
adult,rural population,13
adult,procedures,20
adult,financial management,42
adult,surveys and questionnaires,29
adult,questionnaire,40
adult,age factors,5
adult,sex factor,5
adult,"financing, personal",11
adult,sex factors,7
adult,economic empowerment,5
adult,follow up,12
adult,epidemiology,19
adult,sexually transmitted disease,3
adult,coronavirus disease 2019,4
adult,condom use,3
adult,economic aspect,10
adult,unprotected sex,5
adult,empowerment,13
adult,income,34
adult,sex workers,7
adult,human immunodeficiency virus prevalence,3
adult,risk reduction,6
adult,human immunodeficiency virus infection,14
adult,longitudinal study,9
adult,sex worker,8
adult,literacy,18
adult,covid-19,3
adult,hiv infections,12
adult,sexual behavior,11
adult,banking,8
adult,financial inclusion,18
adult,ethnology,7
adult,productivity,4
adult,financial deficit,4
adult,anxiety,8
adult,household income,9
adult,cohort analysis,6
adult,mental health,12
adult,debt,4
adult,very elderly,9
adult,instrumental variable analysis,4
adult,savings,4
adult,family characteristics,15
adult,outcome assessment,11
adult,wellbeing,15
adult,family size,7
adult,parity,6
adult,breast neoplasms,3
adult,early detection of cancer,5
adult,risk assessment,5
adult,cultural factor,4
adult,psychology,36
adult,mother,6
adult,india,14
adult,internet access,3
adult,cancer risk,3
adult,aging,6
adult,health survey,20
adult,urban area,5
adult,mass screening,4
adult,risk factor,16
adult,breast tumor,3
adult,help seeking behavior,8
adult,cancer screening,5
adult,health behavior,15
adult,early cancer diagnosis,5
adult,patient acceptance of health care,11
adult,patient attitude,11
adult,breast cancer,3
adult,alcohol consumption,6
adult,social class,6
adult,spouse,7
adult,money,17
adult,qualitative analysis,6
adult,married person,3
adult,quantitative analysis,5
adult,marriage,20
adult,finance,18
adult,qualitative research,19
adult,content analysis,3
adult,human experiment,32
adult,friend,6
adult,social welfare,3
adult,social security,4
adult,mental disorders,6
adult,mental disease,8
adult,"adaptation, psychological",5
adult,"health knowledge, attitudes, practice",12
adult,statistics and numerical data,11
adult,attitude to health,15
adult,women,5
adult,uterine cervical neoplasms,4
adult,planning,3
adult,purchasing,3
adult,organization,3
adult,clinical assessment,6
adult,physiological stress,3
adult,social interaction,7
adult,physician,4
adult,cognition,6
adult,depression,7
adult,self concept,7
adult,psychometry,6
adult,clinical article,12
adult,wife,3
adult,avoidance behavior,3
adult,family,3
adult,interview,20
adult,social behavior,8
adult,consumer behavior,12
adult,china,14
adult,consumer attitude,12
adult,choice behavior,4
adult,consumption behavior,3
adult,sustainable development,4
adult,financial literacy,11
adult,occupation,4
adult,structural equation modeling,7
adult,behavior,20
adult,personal finance,4
adult,government,13
adult,partial least squares regression,3
adult,investment,8
adult,investments,5
adult,technology,6
adult,agricultural worker,4
adult,agriculture,3
adult,education,16
adult,reproducibility,4
adult,attitude,8
adult,learning,4
adult,emotion,4
adult,consumer,11
adult,reliability,4
adult,algorithm,3
adult,human relation,4
adult,artificial intelligence,3
adult,interpersonal relations,3
adult,likert scale,4
adult,internet,6
adult,regression analysis,5
adult,gender,13
adult,satisfaction,3
adult,catering service,6
adult,food,5
adult,food supply,5
adult,focus groups,6
adult,participation,3
adult,urban population,6
adult,food insecurity,7
adult,environmental factor,3
adult,food security,7
adult,conceptual framework,4
adult,information processing,9
adult,lowest income group,15
adult,diagnosis,4
adult,health promotion,4
adult,vegetable,3
adult,feeding behavior,4
adult,incentive,3
adult,economic incentive,3
adult,diet,3
adult,semi structured interview,7
adult,child,15
adult,family relation,3
adult,mental stress,3
adult,clinical feature,3
adult,patient education,3
adult,geographic distribution,3
adult,financial security,3
adult,self report,6
adult,stroke,3
adult,manitoba,3
adult,cell phone use,3
adult,rural area,12
adult,internet use,3
adult,student,7
adult,digital technology,4
adult,highest income group,3
adult,health status,9
adult,commerce,4
adult,commercial phenomena,5
adult,quality of life,7
adult,health care,9
adult,behavior change,3
adult,program evaluation,3
adult,developing country,4
adult,workplace,5
adult,bangladesh,6
adult,interviews as topic,6
adult,fraud,4
adult,lifestyle,3
adult,health care policy,7
adult,contraception behavior,5
adult,contraceptive behavior,6
adult,"aged, 80 and over",8
adult,descriptive research,3
adult,human tissue,5
adult,uterine cervix cancer,3
adult,risk factors,8
adult,primary health care,3
adult,women's health,5
adult,microfinance,8
adult,primary medical care,3
adult,obesity,4
adult,organization and management,8
adult,social network,3
adult,health care delivery,12
adult,interpersonal communication,7
adult,medical education,3
adult,budget,3
adult,tax,4
adult,e-mail,3
adult,ethnicity,4
adult,reproducibility of results,3
adult,psychometrics,5
adult,communication disorder,3
adult,thematic analysis,6
adult,emotional stress,3
adult,social inclusion,3
adult,sociodemographics,4
adult,vulnerable population,4
adult,comparative study,5
adult,data analysis,6
adult,coping behavior,7
adult,transactional sex,4
adult,prospective studies,3
adult,stress,4
adult,social status,13
adult,health service,11
adult,social determinants of health,5
adult,delivery of health care,4
adult,caregiver,4
adult,prospective study,3
adult,demography,6
adult,victim,3
adult,theoretical study,4
adult,disabled persons,4
adult,mental health service,3
adult,disability,3
adult,health services needs and demand,3
adult,financial capability,9
adult,disabled person,6
adult,educational status,13
adult,infant,8
adult,mothers,4
adult,maternal health,5
adult,family planning,8
adult,health care utilization,8
adult,statistical model,8
adult,access,3
adult,"child, preschool",8
adult,fever,3
adult,travel,3
adult,family planning services,5
adult,child health,3
adult,utilization,3
adult,health services,3
adult,logistic models,7
adult,preschool child,7
adult,health care surveys,4
adult,health care financing,4
adult,"infant, newborn",5
adult,social psychology,3
adult,physiology,3
adult,married woman,4
adult,partner violence,8
adult,power (psychology),5
adult,violence,4
adult,awareness,6
adult,womens status,3
adult,husband,4
adult,spouses,6
adult,intimate partner violence,6
adult,migration,3
adult,health surveys,5
adult,contraception,7
adult,school,3
adult,reproductive health,7
adult,maternal welfare,4
adult,pilot study,5
adult,malawi,3
adult,sex difference,8
adult,south africa,3
adult,clinical trial,4
adult,health program,4
adult,students,5
adult,prediction,4
adult,analysis of variance,3
adult,nutrition,3
adult,pregnant woman,3
adult,psychological aspect,4
adult,consultation,3
adult,personality,3
adult,economic development,5
adult,ethiopia,8
adult,prevalence,9
adult,financial behavior,3
adult,insurance,8
adult,insurance coverage,4
adult,normal human,5
adult,perception,6
adult,social worker,3
adult,multivariate analysis,3
adult,knowledge,8
adult,financial knowledge,3
adult,skill,3
adult,universities,3
adult,university,3
adult,housing,4
adult,hiv,4
adult,fintech,3
adult,social work,4
adult,physical activity,4
adult,exercise,3
adult,prescription,3
adult,logistic regression analysis,4
adult,cost,3
adult,newborn,4
adult,community care,4
adult,personal experience,4
adult,sexual health,5
adult,social support,9
adult,health care personnel,4
adult,health care facility,8
adult,health education,4
adult,brazil,4
adult,job satisfaction,4
adult,personal autonomy,4
adult,theoretical model,4
adult,"models, theoretical",4
adult,nonhuman,3
adult,employee,4
adult,care behavior,3
adult,health economics,3
adult,analytic method,3
adult,health care costs,5
adult,sexuality,5
adult,sexual partners,3
adult,human immunodeficiency virus,3
adult,feasibility study,3
adult,randomized controlled trial (topic),3
adult,randomized controlled trials as topic,3
adult,family structure,9
adult,longitudinal studies,3
adult,statistics,4
adult,pilot projects,3
adult,machine learning,3
adult,burnout,3
adult,health facilities,4
adult,bank employee,3
adult,methodology,3
adult,malaria,4
adult,determinants,3
adult,cost control,3
adult,cancer patient,3
adult,structured questionnaire,3
adult,probability,4
adult,healthcare,3
adult,saudi arabia,5
adult,infection prevention,3
adult,public sector,3
adult,adoption,3
health insurance,socioeconomic factors,5
health insurance,united states,10
health insurance,human,26
health insurance,health care access,7
health insurance,priority journal,4
health insurance,adolescent,5
health insurance,poverty,3
health insurance,health services accessibility,5
health insurance,financial stress,3
health insurance,cross-sectional study,6
health insurance,health care cost,8
health insurance,"insurance, health",7
health insurance,male,14
health insurance,cross-sectional studies,6
health insurance,health expenditures,4
health insurance,humans,22
health insurance,public health,3
health insurance,financial management,6
health insurance,socioeconomics,4
health insurance,surveys and questionnaires,3
health insurance,questionnaire,7
health insurance,economics,12
health insurance,"financing, personal",4
health insurance,middle aged,11
health insurance,early detection of cancer,3
health insurance,economic aspect,4
health insurance,aged,8
health insurance,aging,3
health insurance,bank account,9
